CODAUTO,CCAA,CPRO,Provincia,Municipio,INE5
"07","Castilla y León","09","Burgos","Cabezón de la Sierra","09062"
"07","Castilla y León","09","Burgos","Caleruega","09064"
"07","Castilla y León","09","Burgos","Campillo de Aranda","09065"
"07","Castilla y León","09","Burgos","Campolara","09066"
"07","Castilla y León","09","Burgos","Canicosa de la Sierra","09067"
"07","Castilla y León","09","Burgos","Cantabrana","09068"
"07","Castilla y León","09","Burgos","Carazo","09070"
"07","Castilla y León","09","Burgos","Carcedo de Bureba","09071"
"07","Castilla y León","09","Burgos","Carcedo de Burgos","09072"
"07","Castilla y León","09","Burgos","Cardeñadijo","09073"
"07","Castilla y León","09","Burgos","Cardeñajimeno","09074"
"07","Castilla y León","09","Burgos","Cardeñuela Riopico","09075"
"07","Castilla y León","09","Burgos","Carrias","09076"
"07","Castilla y León","09","Burgos","Cascajares de Bureba","09077"
"07","Castilla y León","09","Burgos","Cascajares de la Sierra","09078"
"07","Castilla y León","09","Burgos","Castellanos de Castro","09079"
"07","Castilla y León","09","Burgos","Castil de Peones","09083"
"07","Castilla y León","09","Burgos","Castildelgado","09082"
"07","Castilla y León","09","Burgos","Castrillo de la Reina","09084"
"07","Castilla y León","09","Burgos","Castrillo de la Vega","09085"
"07","Castilla y León","09","Burgos","Castrillo de Riopisuerga","09088"
"07","Castilla y León","09","Burgos","Castrillo del Val","09086"
"07","Castilla y León","09","Burgos","Castrillo Mota de Judíos","09090"
"07","Castilla y León","09","Burgos","Castrojeriz","09091"
"07","Castilla y León","09","Burgos","Cavia","09063"
"07","Castilla y León","09","Burgos","Cayuela","09093"
"07","Castilla y León","09","Burgos","Cebrecos","09094"
"07","Castilla y León","09","Burgos","Celada del Camino","09095"
"07","Castilla y León","09","Burgos","Cerezo de Río Tirón","09098"
"07","Castilla y León","09","Burgos","Cerratón de Juarros","09100"
"07","Castilla y León","09","Burgos","Ciadoncha","09101"
"07","Castilla y León","09","Burgos","Cillaperlata","09102"
"07","Castilla y León","09","Burgos","Cilleruelo de Abajo","09103"
"07","Castilla y León","09","Burgos","Cilleruelo de Arriba","09104"
"07","Castilla y León","09","Burgos","Ciruelos de Cervera","09105"
"07","Castilla y León","09","Burgos","Cogollos","09108"
"07","Castilla y León","09","Burgos","Condado de Treviño","09109"
"07","Castilla y León","09","Burgos","Contreras","09110"
"07","Castilla y León","09","Burgos","Coruña del Conde","09112"
"07","Castilla y León","09","Burgos","Covarrubias","09113"
"07","Castilla y León","09","Burgos","Cubillo del Campo","09114"
"07","Castilla y León","09","Burgos","Cubo de Bureba","09115"
"07","Castilla y León","09","Burgos","Cueva de Roa, La","09117"
"07","Castilla y León","09","Burgos","Cuevas de San Clemente","09119"
"07","Castilla y León","09","Burgos","Encío","09120"
"07","Castilla y León","09","Burgos","Espinosa de Cervera","09122"
"07","Castilla y León","09","Burgos","Espinosa de los Monteros","09124"
"07","Castilla y León","09","Burgos","Espinosa del Camino","09123"
"07","Castilla y León","09","Burgos","Estépar","09125"
"07","Castilla y León","09","Burgos","Fontioso","09127"
"07","Castilla y León","09","Burgos","Frandovínez","09128"
"07","Castilla y León","09","Burgos","Fresneda de la Sierra Tirón","09129"
"07","Castilla y León","09","Burgos","Fresneña","09130"
"07","Castilla y León","09","Burgos","Fresnillo de las Dueñas","09131"
"07","Castilla y León","09","Burgos","Fresno de Río Tirón","09132"
"07","Castilla y León","09","Burgos","Fresno de Rodilla","09133"
"07","Castilla y León","09","Burgos","Frías","09134"
"07","Castilla y León","09","Burgos","Fuentebureba","09135"
"07","Castilla y León","09","Burgos","Fuentecén","09136"
"07","Castilla y León","09","Burgos","Fuentelcésped","09137"
"07","Castilla y León","09","Burgos","Fuentelisendo","09138"
"07","Castilla y León","09","Burgos","Fuentemolinos","09139"
"07","Castilla y León","09","Burgos","Fuentenebro","09140"
"07","Castilla y León","09","Burgos","Fuentespina","09141"
"07","Castilla y León","09","Burgos","Galbarros","09143"
"07","Castilla y León","09","Burgos","Gallega, La","09144"
"07","Castilla y León","09","Burgos","Grijalba","09148"
"07","Castilla y León","09","Burgos","Grisaleña","09149"
"07","Castilla y León","09","Burgos","Gumiel de Izán","09151"
"07","Castilla y León","09","Burgos","Gumiel de Mercado","09152"
"07","Castilla y León","09","Burgos","Hacinas","09154"
"07","Castilla y León","09","Burgos","Haza","09155"
"07","Castilla y León","09","Burgos","Hontanas","09159"
"07","Castilla y León","09","Burgos","Hontangas","09160"
"07","Castilla y León","09","Burgos","Hontoria de la Cantera","09162"
"07","Castilla y León","09","Burgos","Hontoria de Valdearados","09164"
"07","Castilla y León","09","Burgos","Hontoria del Pinar","09163"
"07","Castilla y León","09","Burgos","Hormazas, Las","09166"
"07","Castilla y León","09","Burgos","Hornillos del Camino","09167"
"07","Castilla y León","09","Burgos","Horra, La","09168"
"07","Castilla y León","09","Burgos","Hortigüela","09169"
"07","Castilla y León","09","Burgos","Hoyales de Roa","09170"
"07","Castilla y León","09","Burgos","Huérmeces","09172"
"07","Castilla y León","09","Burgos","Huerta de Arriba","09173"
"07","Castilla y León","09","Burgos","Huerta de Rey","09174"
"07","Castilla y León","09","Burgos","Humada","09175"
"07","Castilla y León","09","Burgos","Hurones","09176"
"07","Castilla y León","09","Burgos","Ibeas de Juarros","09177"
"07","Castilla y León","09","Burgos","Ibrillos","09178"
"07","Castilla y León","09","Burgos","Iglesiarrubia","09179"
"07","Castilla y León","09","Burgos","Iglesias","09180"
"07","Castilla y León","09","Burgos","Isar","09181"
"07","Castilla y León","09","Burgos","Itero del Castillo","09182"
"07","Castilla y León","09","Burgos","Jaramillo de la Fuente","09183"
"07","Castilla y León","09","Burgos","Jaramillo Quemado","09184"
"07","Castilla y León","09","Burgos","Junta de Traslaloma","09189"
"07","Castilla y León","09","Burgos","Junta de Villalba de Losa","09190"
"07","Castilla y León","09","Burgos","Jurisdicción de Lara","09191"
"07","Castilla y León","09","Burgos","Jurisdicción de San Zadornil","09192"
"07","Castilla y León","09","Burgos","Lerma","09194"
"07","Castilla y León","09","Burgos","Llano de Bureba","09195"
"07","Castilla y León","09","Burgos","Madrigal del Monte","09196"
"07","Castilla y León","09","Burgos","Madrigalejo del Monte","09197"
"07","Castilla y León","09","Burgos","Mahamud","09198"
"07","Castilla y León","09","Burgos","Mambrilla de Castrejón","09199"
"07","Castilla y León","09","Burgos","Mambrillas de Lara","09200"
"07","Castilla y León","09","Burgos","Mamolar","09201"
"07","Castilla y León","09","Burgos","Manciles","09202"
"07","Castilla y León","09","Burgos","Mazuela","09206"
"07","Castilla y León","09","Burgos","Mecerreyes","09208"
"07","Castilla y León","09","Burgos","Medina de Pomar","09209"
"07","Castilla y León","09","Burgos","Melgar de Fernamental","09211"
"07","Castilla y León","09","Burgos","Merindad de Cuesta-Urria","09213"
"07","Castilla y León","09","Burgos","Merindad de Montija","09214"
"07","Castilla y León","09","Burgos","Merindad de Río Ubierna","09906"
"07","Castilla y León","09","Burgos","Merindad de Sotoscueva","09215"
"07","Castilla y León","09","Burgos","Merindad de Valdeporres","09216"
"07","Castilla y León","09","Burgos","Merindad de Valdivielso","09217"
"07","Castilla y León","09","Burgos","Milagros","09218"
"07","Castilla y León","09","Burgos","Miranda de Ebro","09219"
"07","Castilla y León","09","Burgos","Miraveche","09220"
"07","Castilla y León","09","Burgos","Modúbar de la Emparedada","09221"
"07","Castilla y León","09","Burgos","Monasterio de la Sierra","09223"
"07","Castilla y León","09","Burgos","Monasterio de Rodilla","09224"
"07","Castilla y León","09","Burgos","Moncalvillo","09225"
"07","Castilla y León","09","Burgos","Monterrubio de la Demanda","09226"
"07","Castilla y León","09","Burgos","Montorio","09227"
"07","Castilla y León","09","Burgos","Moradillo de Roa","09228"
"07","Castilla y León","09","Burgos","Nava de Roa","09229"
"07","Castilla y León","09","Burgos","Navas de Bureba","09230"
"07","Castilla y León","09","Burgos","Nebreda","09231"
"07","Castilla y León","09","Burgos","Neila","09232"
"07","Castilla y León","09","Burgos","Olmedillo de Roa","09235"
"07","Castilla y León","09","Burgos","Olmillos de Muñó","09236"
"07","Castilla y León","09","Burgos","Oña","09238"
"07","Castilla y León","09","Burgos","Oquillas","09239"
"07","Castilla y León","09","Burgos","Orbaneja Riopico","09241"
"07","Castilla y León","09","Burgos","Padilla de Abajo","09242"
"07","Castilla y León","09","Burgos","Padilla de Arriba","09243"
"07","Castilla y León","09","Burgos","Padrones de Bureba","09244"
"07","Castilla y León","09","Burgos","Palacios de la Sierra","09246"
"07","Castilla y León","09","Burgos","Palacios de Riopisuerga","09247"
"07","Castilla y León","09","Burgos","Palazuelos de la Sierra","09248"
"07","Castilla y León","09","Burgos","Palazuelos de Muñó","09249"
"07","Castilla y León","09","Burgos","Pampliega","09250"
"07","Castilla y León","09","Burgos","Pancorbo","09251"
"07","Castilla y León","09","Burgos","Pardilla","09253"
"07","Castilla y León","09","Burgos","Partido de la Sierra en Tobalina","09255"
"07","Castilla y León","09","Burgos","Pedrosa de Duero","09256"
"07","Castilla y León","09","Burgos","Pedrosa de Río Úrbel","09259"
"07","Castilla y León","09","Burgos","Pedrosa del Páramo","09257"
"07","Castilla y León","09","Burgos","Pedrosa del Príncipe","09258"
"07","Castilla y León","09","Burgos","Peñaranda de Duero","09261"
"07","Castilla y León","09","Burgos","Peral de Arlanza","09262"
"07","Castilla y León","09","Burgos","Piérnigas","09265"
"07","Castilla y León","09","Burgos","Pineda de la Sierra","09266"
"07","Castilla y León","09","Burgos","Pineda Trasmonte","09267"
"07","Castilla y León","09","Burgos","Pinilla de los Barruecos","09268"
"07","Castilla y León","09","Burgos","Pinilla de los Moros","09269"
"07","Castilla y León","09","Burgos","Pinilla Trasmonte","09270"
"07","Castilla y León","09","Burgos","Poza de la Sal","09272"
"07","Castilla y León","09","Burgos","Prádanos de Bureba","09273"
"07","Castilla y León","09","Burgos","Pradoluengo","09274"
"07","Castilla y León","09","Burgos","Presencio","09275"
"07","Castilla y León","09","Burgos","Puebla de Arganzón, La","09276"
"07","Castilla y León","09","Burgos","Puentedura","09277"
"07","Castilla y León","09","Burgos","Quemada","09279"
"07","Castilla y León","09","Burgos","Quintana del Pidio","09281"
"07","Castilla y León","09","Burgos","Quintanabureba","09280"
"07","Castilla y León","09","Burgos","Quintanaélez","09283"
"07","Castilla y León","09","Burgos","Quintanaortuño","09287"
"07","Castilla y León","09","Burgos","Quintanapalla","09288"
"07","Castilla y León","09","Burgos","Quintanar de la Sierra","09289"
"07","Castilla y León","09","Burgos","Quintanavides","09292"
"07","Castilla y León","09","Burgos","Quintanilla de la Mata","09294"
"07","Castilla y León","09","Burgos","Quintanilla del Agua y Tordueles","09901"
"07","Castilla y León","09","Burgos","Quintanilla del Coco","09295"
"07","Castilla y León","09","Burgos","Quintanilla San García","09298"
"07","Castilla y León","09","Burgos","Quintanilla Vivar","09301"
"07","Castilla y León","09","Burgos","Quintanillas, Las","09297"
"07","Castilla y León","09","Burgos","Rabanera del Pinar","09302"
"07","Castilla y León","09","Burgos","Rábanos","09303"
"07","Castilla y León","09","Burgos","Rabé de las Calzadas","09304"
"07","Castilla y León","09","Burgos","Rebolledo de la Torre","09306"
"07","Castilla y León","09","Burgos","Redecilla del Camino","09307"
"07","Castilla y León","09","Burgos","Redecilla del Campo","09308"
"07","Castilla y León","09","Burgos","Regumiel de la Sierra","09309"
"07","Castilla y León","09","Burgos","Reinoso","09310"
"07","Castilla y León","09","Burgos","Retuerta","09311"
"07","Castilla y León","09","Burgos","Revilla del Campo","09314"
"07","Castilla y León","09","Burgos","Revilla Vallejera","09316"
"07","Castilla y León","09","Burgos","Revilla y Ahedo, La","09312"
"07","Castilla y León","09","Burgos","Revillarruz","09315"
"07","Castilla y León","09","Burgos","Rezmondo","09317"
"07","Castilla y León","09","Burgos","Riocavado de la Sierra","09318"
"07","Castilla y León","09","Burgos","Roa","09321"
"07","Castilla y León","09","Burgos","Rojas","09323"
"07","Castilla y León","09","Burgos","Royuela de Río Franco","09325"
"07","Castilla y León","09","Burgos","Rubena","09326"
"07","Castilla y León","09","Burgos","Rublacedo de Abajo","09327"
"07","Castilla y León","09","Burgos","Rucandio","09328"
"07","Castilla y León","09","Burgos","Salas de Bureba","09329"
"07","Castilla y León","09","Burgos","Salas de los Infantes","09330"
"07","Castilla y León","09","Burgos","Saldaña de Burgos","09332"
"07","Castilla y León","09","Burgos","Salinillas de Bureba","09334"
"07","Castilla y León","09","Burgos","San Adrián de Juarros","09335"
"07","Castilla y León","09","Burgos","San Juan del Monte","09337"
"07","Castilla y León","09","Burgos","San Mamés de Burgos","09338"
"07","Castilla y León","09","Burgos","San Martín de Rubiales","09339"
"07","Castilla y León","09","Burgos","San Millán de Lara","09340"
"07","Castilla y León","09","Burgos","San Vicente del Valle","09360"
"07","Castilla y León","09","Burgos","Santa Cecilia","09343"
"07","Castilla y León","09","Burgos","Santa Cruz de la Salceda","09345"
"07","Castilla y León","09","Burgos","Santa Cruz del Valle Urbión","09346"
"07","Castilla y León","09","Burgos","Santa Gadea del Cid","09347"
"07","Castilla y León","09","Burgos","Santa Inés","09348"
"07","Castilla y León","09","Burgos","Santa María del Campo","09350"
"07","Castilla y León","09","Burgos","Santa María del Invierno","09351"
"07","Castilla y León","09","Burgos","Santa María del Mercadillo","09352"
"07","Castilla y León","09","Burgos","Santa María Rivarredonda","09353"
"07","Castilla y León","09","Burgos","Santa Olalla de Bureba","09354"
"07","Castilla y León","09","Burgos","Santibáñez de Esgueva","09355"
"07","Castilla y León","09","Burgos","Santibáñez del Val","09356"
"07","Castilla y León","09","Burgos","Santo Domingo de Silos","09358"
"07","Castilla y León","09","Burgos","Sargentes de la Lora","09361"
"07","Castilla y León","09","Burgos","Sarracín","09362"
"07","Castilla y León","09","Burgos","Sasamón","09363"
"07","Castilla y León","09","Burgos","Sequera de Haza, La","09365"
"07","Castilla y León","09","Burgos","Solarana","09366"
"07","Castilla y León","09","Burgos","Sordillos","09368"
"07","Castilla y León","09","Burgos","Sotillo de la Ribera","09369"
"07","Castilla y León","09","Burgos","Sotragero","09372"
"07","Castilla y León","09","Burgos","Sotresgudo","09373"
"07","Castilla y León","09","Burgos","Susinos del Páramo","09374"
"07","Castilla y León","09","Burgos","Tamarón","09375"
"07","Castilla y León","09","Burgos","Tardajos","09377"
"07","Castilla y León","09","Burgos","Tejada","09378"
"07","Castilla y León","09","Burgos","Terradillos de Esgueva","09380"
"07","Castilla y León","09","Burgos","Tinieblas de la Sierra","09381"
"07","Castilla y León","09","Burgos","Tobar","09382"
"07","Castilla y León","09","Burgos","Tordómar","09384"
"07","Castilla y León","09","Burgos","Torrecilla del Monte","09386"
"07","Castilla y León","09","Burgos","Torregalindo","09387"
"07","Castilla y León","09","Burgos","Torrelara","09388"
"07","Castilla y León","09","Burgos","Torrepadre","09389"
"07","Castilla y León","09","Burgos","Torresandino","09390"
"07","Castilla y León","09","Burgos","Tórtoles de Esgueva","09391"
"07","Castilla y León","09","Burgos","Tosantos","09392"
"07","Castilla y León","09","Burgos","Trespaderne","09394"
"07","Castilla y León","09","Burgos","Tubilla del Agua","09395"
"07","Castilla y León","09","Burgos","Tubilla del Lago","09396"
"07","Castilla y León","09","Burgos","Úrbel del Castillo","09398"
"07","Castilla y León","09","Burgos","Vadocondes","09400"
"07","Castilla y León","09","Burgos","Valdeande","09403"
"07","Castilla y León","09","Burgos","Valdezate","09405"
"07","Castilla y León","09","Burgos","Valdorros","09406"
"07","Castilla y León","09","Burgos","Vallarta de Bureba","09408"
"07","Castilla y León","09","Burgos","Valle de las Navas","09904"
"07","Castilla y León","09","Burgos","Valle de Losa","09908"
"07","Castilla y León","09","Burgos","Valle de Manzanedo","09409"
"07","Castilla y León","09","Burgos","Valle de Mena","09410"
"07","Castilla y León","09","Burgos","Valle de Oca","09411"
"07","Castilla y León","09","Burgos","Valle de Santibáñez","09902"
"07","Castilla y León","09","Burgos","Valle de Sedano","09905"
"07","Castilla y León","09","Burgos","Valle de Tobalina","09412"
"07","Castilla y León","09","Burgos","Valle de Valdebezana","09413"
"07","Castilla y León","09","Burgos","Valle de Valdelaguna","09414"
"07","Castilla y León","09","Burgos","Valle de Valdelucio","09415"
"07","Castilla y León","09","Burgos","Valle de Zamanzas","09416"
"07","Castilla y León","09","Burgos","Vallejera","09417"
"07","Castilla y León","09","Burgos","Valles de Palenzuela","09418"
"07","Castilla y León","09","Burgos","Valluércanes","09419"
"07","Castilla y León","09","Burgos","Valmala","09407"
"07","Castilla y León","09","Burgos","Vid de Bureba, La","09422"
"07","Castilla y León","09","Burgos","Vid y Barrios, La","09421"
"07","Castilla y León","09","Burgos","Vileña","09423"
"07","Castilla y León","09","Burgos","Villadiego","09427"
"07","Castilla y León","09","Burgos","Villaescusa de Roa","09428"
"07","Castilla y León","09","Burgos","Villaescusa la Sombría","09429"
"07","Castilla y León","09","Burgos","Villaespasa","09430"
"07","Castilla y León","09","Burgos","Villafranca Montes de Oca","09431"
"07","Castilla y León","09","Burgos","Villafruela","09432"
"07","Castilla y León","09","Burgos","Villagalijo","09433"
"07","Castilla y León","09","Burgos","Villagonzalo Pedernales","09434"
"07","Castilla y León","09","Burgos","Villahoz","09437"
"07","Castilla y León","09","Burgos","Villalba de Duero","09438"
"07","Castilla y León","09","Burgos","Villalbilla de Burgos","09439"
"07","Castilla y León","09","Burgos","Villalbilla de Gumiel","09440"
"07","Castilla y León","09","Burgos","Villaldemiro","09441"
"07","Castilla y León","09","Burgos","Villalmanzo","09442"
"07","Castilla y León","09","Burgos","Villamayor de los Montes","09443"
"07","Castilla y León","09","Burgos","Villamayor de Treviño","09444"
"07","Castilla y León","09","Burgos","Villambistia","09445"
"07","Castilla y León","09","Burgos","Villamedianilla","09446"
"07","Castilla y León","09","Burgos","Villamiel de la Sierra","09447"
"07","Castilla y León","09","Burgos","Villangómez","09448"
"07","Castilla y León","09","Burgos","Villanueva de Argaño","09449"
"07","Castilla y León","09","Burgos","Villanueva de Carazo","09450"
"07","Castilla y León","09","Burgos","Villanueva de Gumiel","09451"
"07","Castilla y León","09","Burgos","Villanueva de Teba","09454"
"07","Castilla y León","09","Burgos","Villaquirán de la Puebla","09455"
"07","Castilla y León","09","Burgos","Villaquirán de los Infantes","09456"
"07","Castilla y León","09","Burgos","Villarcayo de Merindad de Castilla la Vieja","09903"
"07","Castilla y León","09","Burgos","Villariezo","09458"
"07","Castilla y León","09","Burgos","Villasandino","09460"
"07","Castilla y León","09","Burgos","Villasur de Herreros","09463"
"07","Castilla y León","09","Burgos","Villatuelda","09464"
"07","Castilla y León","09","Burgos","Villaverde del Monte","09466"
"07","Castilla y León","09","Burgos","Villaverde-Mogina","09467"
"07","Castilla y León","09","Burgos","Villayerno Morquillas","09471"
"07","Castilla y León","09","Burgos","Villazopeque","09472"
"07","Castilla y León","09","Burgos","Villegas","09473"
"07","Castilla y León","09","Burgos","Villoruebo","09476"
"07","Castilla y León","09","Burgos","Viloria de Rioja","09424"
"07","Castilla y León","09","Burgos","Vilviestre del Pinar","09425"
"07","Castilla y León","09","Burgos","Vizcaínos","09478"
"07","Castilla y León","09","Burgos","Zael","09480"
"07","Castilla y León","09","Burgos","Zarzosa de Río Pisuerga","09482"
"07","Castilla y León","09","Burgos","Zazuar","09483"
"07","Castilla y León","09","Burgos","Zuñeda","09485"
"07","Castilla y León","37","Salamanca","Abusejo","37001"
"07","Castilla y León","37","Salamanca","Agallas","37002"
"07","Castilla y León","37","Salamanca","Ahigal de los Aceiteros","37003"
"07","Castilla y León","37","Salamanca","Ahigal de Villarino","37004"
"07","Castilla y León","37","Salamanca","Alameda de Gardón, La","37005"
"07","Castilla y León","37","Salamanca","Alamedilla, La","37006"
"07","Castilla y León","37","Salamanca","Alaraz","37007"
"07","Castilla y León","37","Salamanca","Alba de Tormes","37008"
"07","Castilla y León","37","Salamanca","Alba de Yeltes","37009"
"07","Castilla y León","37","Salamanca","Alberca, La","37010"
"07","Castilla y León","37","Salamanca","Alberguería de Argañán, La","37011"
"07","Castilla y León","37","Salamanca","Alconada","37012"
"07","Castilla y León","37","Salamanca","Aldea del Obispo","37015"
"07","Castilla y León","37","Salamanca","Aldeacipreste","37013"
"07","Castilla y León","37","Salamanca","Aldeadávila de la Ribera","37014"
"07","Castilla y León","37","Salamanca","Aldealengua","37016"
"07","Castilla y León","37","Salamanca","Aldeanueva de Figueroa","37017"
"07","Castilla y León","37","Salamanca","Aldeanueva de la Sierra","37018"
"07","Castilla y León","37","Salamanca","Aldearrodrigo","37019"
"07","Castilla y León","37","Salamanca","Aldearrubia","37020"
"07","Castilla y León","37","Salamanca","Aldeaseca de Alba","37021"
"07","Castilla y León","37","Salamanca","Aldeaseca de la Frontera","37022"
"07","Castilla y León","37","Salamanca","Aldeatejada","37023"
"07","Castilla y León","37","Salamanca","Aldeavieja de Tormes","37024"
"07","Castilla y León","37","Salamanca","Aldehuela de la Bóveda","37025"
"07","Castilla y León","37","Salamanca","Aldehuela de Yeltes","37026"
"07","Castilla y León","37","Salamanca","Almenara de Tormes","37027"
"07","Castilla y León","37","Salamanca","Almendra","37028"
"07","Castilla y León","37","Salamanca","Anaya de Alba","37029"
"07","Castilla y León","37","Salamanca","Añover de Tormes","37030"
"07","Castilla y León","37","Salamanca","Arabayona de Mógica","37031"
"07","Castilla y León","37","Salamanca","Arapiles","37032"
"07","Castilla y León","37","Salamanca","Arcediano","37033"
"07","Castilla y León","37","Salamanca","Arco, El","37034"
"07","Castilla y León","37","Salamanca","Armenteros","37035"
"07","Castilla y León","37","Salamanca","Atalaya, La","37037"
"07","Castilla y León","37","Salamanca","Babilafuente","37038"
"07","Castilla y León","37","Salamanca","Bañobárez","37039"
"07","Castilla y León","37","Salamanca","Barbadillo","37040"
"07","Castilla y León","37","Salamanca","Barbalos","37041"
"07","Castilla y León","37","Salamanca","Barceo","37042"
"07","Castilla y León","37","Salamanca","Barruecopardo","37044"
"07","Castilla y León","37","Salamanca","Bastida, La","37045"
"07","Castilla y León","37","Salamanca","Béjar","37046"
"07","Castilla y León","37","Salamanca","Beleña","37047"
"07","Castilla y León","37","Salamanca","Bermellar","37049"
"07","Castilla y León","37","Salamanca","Berrocal de Huebra","37050"
"07","Castilla y León","37","Salamanca","Berrocal de Salvatierra","37051"
"07","Castilla y León","37","Salamanca","Boada","37052"
"07","Castilla y León","37","Salamanca","Bodón, El","37054"
"07","Castilla y León","37","Salamanca","Bogajo","37055"
"07","Castilla y León","37","Salamanca","Bouza, La","37056"
"07","Castilla y León","37","Salamanca","Bóveda del Río Almar","37057"
"07","Castilla y León","37","Salamanca","Brincones","37058"
"07","Castilla y León","37","Salamanca","Buenamadre","37059"
"07","Castilla y León","37","Salamanca","Buenavista","37060"
"07","Castilla y León","37","Salamanca","Cabaco, El","37061"
"07","Castilla y León","37","Salamanca","Cabeza de Béjar, La","37063"
"07","Castilla y León","37","Salamanca","Cabeza del Caballo","37065"
"07","Castilla y León","37","Salamanca","Cabezabellosa de la Calzada","37062"
"07","Castilla y León","37","Salamanca","Cabrerizos","37067"
"07","Castilla y León","37","Salamanca","Cabrillas","37068"
"07","Castilla y León","37","Salamanca","Calvarrasa de Abajo","37069"
"07","Castilla y León","37","Salamanca","Calvarrasa de Arriba","37070"
"07","Castilla y León","37","Salamanca","Calzada de Béjar, La","37071"
"07","Castilla y León","37","Salamanca","Calzada de Don Diego","37072"
"07","Castilla y León","37","Salamanca","Calzada de Valdunciel","37073"
"07","Castilla y León","37","Salamanca","Campillo de Azaba","37074"
"07","Castilla y León","37","Salamanca","Campo de Peñaranda, El","37077"
"07","Castilla y León","37","Salamanca","Candelario","37078"
"07","Castilla y León","37","Salamanca","Canillas de Abajo","37079"
"07","Castilla y León","37","Salamanca","Cantagallo","37080"
"07","Castilla y León","37","Salamanca","Cantalapiedra","37081"
"07","Castilla y León","37","Salamanca","Cantalpino","37082"
"07","Castilla y León","37","Salamanca","Cantaracillo","37083"
"07","Castilla y León","37","Salamanca","Carbajosa de la Sagrada","37085"
"07","Castilla y León","37","Salamanca","Carpio de Azaba","37086"
"07","Castilla y León","37","Salamanca","Carrascal de Barregas","37087"
"07","Castilla y León","37","Salamanca","Carrascal del Obispo","37088"
"07","Castilla y León","37","Salamanca","Casafranca","37089"
"07","Castilla y León","37","Salamanca","Casas del Conde, Las","37090"
"07","Castilla y León","37","Salamanca","Casillas de Flores","37091"
"07","Castilla y León","37","Salamanca","Castellanos de Moriscos","37092"
"07","Castilla y León","37","Salamanca","Castellanos de Villiquera","37185"
"07","Castilla y León","37","Salamanca","Castillejo de Martín Viejo","37096"
"07","Castilla y León","37","Salamanca","Castraz","37097"
"07","Castilla y León","37","Salamanca","Cepeda","37098"
